,Jobtitle,Location,Salary,Company,Cities,USDSalary
42875,"Software Architect, Emerging Technologies-Full Stack (Chicag...","Chicago, IL",83000,Pandera Systems,Chicago,83000.0
42876,Front-end Engineer,"Chicago, IL",96000,Enterprise Peak,Chicago,96000.0
42877,Senior DataOps Engineer,"Chicago, IL",119000,Glassdoor,Chicago,119000.0
42878,AWS DevOps Engineer,"Chicago, IL",96000,Enterprise Peak,Chicago,96000.0
42879,Senior Software Engineer - Platform Team,"Chicago, IL 60654 (Loop area)",111000,Fooda,Chicago,111000.0
42880,Senior Software Engineer,"Chicago, IL 60654 (Loop area)",100000,Tempus,Chicago,100000.0
42882,Senior Full Stack Javascript Engineer,"Chicago, IL 60654 (Loop area)",97000,Tempus,Chicago,97000.0
42884,Senior Scala Developer - Cloud Computing,"Chicago, IL",114000,Enterprise Peak,Chicago,114000.0
45009,Research Assistant I,"Richardson, TX",28953,University of Texas at Dallas,Dallas,28953.0
45063,"Principal Data Scientist (Python, Hadoop, Azure, Java) | $15...","Dallas, TX",150000,Workbridge Associates,Dallas,150000.0
45148,Senior Software Engineer,"Plano, TX 75086",106000,Capital One,Dallas,106000.0
45149,Lead Java Developer (Dealer),"Plano, TX 75086",103000,Capital One,Dallas,103000.0
45156,Manager of Data Analysis and Research,"Dallas, TX 75209 (Bluffview area)",48000,Prospect Direct,Dallas,48000.0
45162,Big Data Scientist,"Irving, TX",112340,Virtue Analytics,Dallas,112340.0
45182,Sales Leads Generation - Research Analyst,"Dallas, TX",45000,OEM Electrical Power Equipment Manufacturer,Dallas,45000.0
45193,BluePrism - Technology Analyst,"Dallas, TX",100000,Axius Technologies Inc,Dallas,100000.0
45194,Sr. Quantitative Analyst,"Irving, TX",125000,Digital Intelligence Systems (DISYS),Dallas,125000.0
45196,"Software Engineer, Machine Learning","Dallas, TX",77000,XiByte,Dallas,77000.0
45204,"JavaScript Developer – AngularJS, Machine Learning, New Prod...","Dallas, TX 75252 (Far North area)",90000,"Riccione Resources, Inc",Dallas,90000.0
45205,Staff Software Engineer – Big Data Platform,"Dallas, TX",100000,Sam's Club,Dallas,100000.0
45206,Azure Infrastructure Architect,"Dallas-Fort Worth, TX",108000,Quisitive,Dallas,108000.0
45207,UI ENGINEER,"Dallas, TX",86000,M Science,Dallas,86000.0
45208,SOFTWARE ENGINEER,"Dallas, TX",97000,M Science,Dallas,97000.0
45210,Solutions Architect,"Dallas, TX",150000,Rekruiters,Dallas,150000.0
45211,"Sr. Software Engineer – Java, Machine Learning, Data Visuali...","Addison, TX",100000,"Riccione Resources, Inc",Dallas,100000.0
45212,Machine Learning Technical Lead,"Richardson, TX",97000,Bhuvi IT Solutions Inc,Dallas,97000.0
45218,"Sr. JavaScript Developer – Team Lead, Angular, Machine Learn...","Dallas, TX 75252 (Far North area)",90000,"Riccione Resources, Inc",Dallas,90000.0
45219,"Software Engineer – Mid or Senior, Server Side, Java, Micros...","Dallas, TX 75252 (Far North area)",90000,"Riccione Resources, Inc",Dallas,90000.0
45306,Senior Full Stack Engineer,"Dallas, TX",99000,Givelify,Dallas,99000.0
47938,Research Scientist - TEAF,"Miami, FL",55000,Florida International University,Miami,55000.0
47944,Scientist,"Coral Gables, FL",77600,University of Miami,Miami,77600.0
47961,"Director, Atlantic Oceanographic Meteorological Laboratory","Miami, FL",126148,US Department of Commerce,Miami,126148.0
47974,Temporary Sr. Research Analyst,"Coral Gables, FL",72000,University of Miami,Miami,72000.0
47984,Research Analyst / SAS Programmer,"Coral Gables, FL",32900,University of Miami,Miami,32900.0
47986,Senior Research Associate 1,"Coral Gables, FL",32900,University of Miami,Miami,32900.0
47990,Sr. Research Financial Analyst,"Coral Gables, FL",40000,University of Miami,Miami,40000.0
48013,Quality Analytics Manager,"Plantation, FL",80000,3coast,Miami,80000.0
48027,Solution Advisor | Professional Services Consultant,"Fort Lauderdale, FL",60000,Wyzoo,Miami,60000.0
48038,Machine Learning Sr Engineer,"Miami, FL",100000,SmartHop,Miami,100000.0
48384,Data Scientist- Predictive,"Miami, FL",108000,Focus GTS,Miami,108000.0
48385,Data Scientist,"Miami, FL 33178",96000,"V-Soft Consulting Group, Inc.",Miami,96000.0
50920,Jr. Data Scientist - Machine Learning,"Atlanta, GA 30342 (Buckhead area)",70000,Elev8 Hire Solutions,Atlanta,70000.0
50947,Epidemiologist,"Atlanta, GA 30341",77058,CDC,Atlanta,77058.0
50984,Delivery Architect - Applied Data Scientist,"Atlanta, GA",102000,Capgemini,Atlanta,102000.0
50990,MGR DATA SCIENCE AND ANALYTICS,"Atlanta, GA",100000,The Home Depot,Atlanta,100000.0
51000,BIOLOGIST (FORENSIC EXAMINER),"Fort Gillem, GA",53137,US Department of the Army,Atlanta,53137.0
51015,"The Carter Center: Prospect Research Analyst, Development, M...","Atlanta, GA",40300,Emory University,Atlanta,40300.0
51234,Engineering Data Scientist for IoT/AI Analytics Platform,"Atlanta, GA",60000,"DecisionIQ, Inc.",Atlanta,60000.0
51236,Business Research Analyst - Entry Level,"Norcross, GA",30000,CI Radar,Atlanta,30000.0
51239,"Data Scientist Information technology (IT) California ,","Atlanta, GA",110000,Salesbox,Atlanta,110000.0
51274,Senior Fullstack AI Developer,"Alpharetta, GA",100000,AGM Tech Solutions,Atlanta,100000.0
51284,Civil Engineer,"Atlanta, GA",80000,"Futures Consulting, LLC",Atlanta,80000.0
51775,Senior Software Engineer,"Atlanta, GA 30318 (Rockdale area)",100000,Harmony,Atlanta,100000.0
51779,Lead Full Stack Developer,"Atlanta, GA 30342 (Buckhead area)",89000,GreenSky,Atlanta,89000.0
53910,Data Wrangler,"Los Angeles, CA",58245,USC,Los+Angeles,58245.0
53921,Senior Flavor Scientist,"Pacific Palisades, CA 90272",60000,Fluid Manufacturing,Los+Angeles,60000.0
53928,Physical Scientist,"Los Angeles, CA",57264,US Department of Veterans Affairs,Los+Angeles,57264.0
53975,Research Lab Specialist,"Los Angeles, CA",45180,USC,Los+Angeles,45180.0
54076,Manager of Data Visualization,"Glendale, CA",120000,Jobspring Partners,Los+Angeles,120000.0
54108,"Database Administrator, Big Data","Los Angeles, CA",102000,Conversant Media,Los+Angeles,102000.0
54109,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES","Los Angeles County, CA",76238,Los Angeles County Human Resources,Los+Angeles,76238.0
54132,IT Specialist (Network) - DEU-YMJ,"Pasadena, CA",69283,US Department of the Interior,Los+Angeles,69283.0
54256,Postdoctoral Scholar - Research Associate,"Los Angeles, CA",48000,USC,Los+Angeles,48000.0
54260,Financial Analyst,"El Segundo, CA",73000,BOEING,Los+Angeles,73000.0
54432,"Test and Integration Engineer, 2019 Undergraduate Spring Co-...","El Segundo, CA 90245",73000,The Aerospace Corporation,Los+Angeles,73000.0
54436,Senior Full Stack Software Engineer,"Los Angeles, CA",99000,SAP,Los+Angeles,99000.0
54439,Software Engineer,"Burbank, CA",102000,Applied Minds,Los+Angeles,102000.0
54441,Lead Software Engineer,"Pasadena, CA 91125",95000,California Institute of Technology,Los+Angeles,95000.0
54453,Senior Security Engineer,"Manhattan Beach, CA",124000,BCG Digital Ventures,Los+Angeles,124000.0
54456,Principal Electrical Engineer,"Los Angeles, CA",97000,Kernel,Los+Angeles,97000.0
54462,"Senior Manager, CRM Analytics","Los Angeles, CA",120000,Harnham US,Los+Angeles,120000.0
54546,Senior Computational Linguist,"Los Angeles, CA",180000,R2 Global,Los+Angeles,180000.0
54547,Machine Learning Engineer/ Data Scientist,"Los Angeles, CA",180000,LT,Los+Angeles,180000.0
54559,"Market Research Analyst, TV Content Strategy","Los Angeles, CA 90016",50000,NRG- A Stagwell Company,Los+Angeles,50000.0
54561,Associate Account Manager,"Los Angeles, CA",45000,Twine,Los+Angeles,45000.0
54567,ABS/CLO Research Analyst,"Los Angeles, CA",100000,Pure Search on behalf of an Investment Firm,Los+Angeles,100000.0
54591,Senior Quality Control Scientist,"Santa Monica, CA",100000,Apex Life Sciences,Los+Angeles,100000.0
54604,Lab Director,"Los Angeles, CA",75000,Cannabis Testing Lab,Los+Angeles,75000.0
54607,Hedge Fund Analysis and Data Manager,"Santa Monica, CA 90404",80000,Robert Half Finance & Accounting,Los+Angeles,80000.0
54629,Sr. Quality Control Manager,"Los Angeles, CA",115000,Standard Homeopathic Company / Hyland's,Los+Angeles,115000.0
54641,Senior Research Analyst,"Redondo Beach, CA",92000,NelsonJobs,Los+Angeles,92000.0
55488,Senior Software Engineer (Remote),"Los Angeles, CA",136000,HIRECLOUT,Los+Angeles,136000.0
55489,Software Engineer FEATURED,"Pasadena, CA",109000,Galaxy Tek Hires,Los+Angeles,109000.0
55490,Software Engineer (TS Clearance Required),"Burbank, CA 91504",103000,"Applied Minds, LLC",Los+Angeles,103000.0
55493,Senior Software Engineer,"Los Angeles, CA 90025",123000,Conversion Logic,Los+Angeles,123000.0
55495,Software Development Engineer Apps and UI - #03-AU41598,"Los Angeles, CA",92000,MJK Concepts,Los+Angeles,92000.0
55496,Sr. Java Engineer – Stay casual & get into Machine Learning,"Buena Park, CA",118000,Camden Kelly Corporation,Los+Angeles,118000.0
56897,Data Scientist,London WC1B,35000,Invennt Ltd,"London, Greater London",44800.0
56900,Data Scientist - Natural Language Processing Expert,London EC2Y,40000,Karssen,"London, Greater London",51200.0
56903,Data Scientist Graduate,Uxbridge,23000,Hertz Europe,"London, Greater London",29440.0
56904,"Data Scientist, 3-month fixed term contract",London,20000,Financial Conduct Authority,"London, Greater London",25600.0
56905,Lead Data Scientist,London,24000,Marshmallow,"London, Greater London",30720.0
56906,Data Scientist,London,60000,Hazy,"London, Greater London",76800.0
56909,Data Scientist,London SE1,45000,Fusion Lifestyle,"London, Greater London",57600.0
56910,Data Scientist,London Bridge Station,40000,ZMedia,"London, Greater London",51200.0
56911,Data Scientist,London,40000,Cytora,"London, Greater London",51200.0
56913,Marketing Data Scientist,London,40000,nkoda,"London, Greater London",51200.0
56922,Deliveries Operative,London,24506,University College London,"London, Greater London",31367.68
56924,Graduate Data Scientist/Engineer,London,32000,Quantexa,"London, Greater London",40960.0
56925,Data Scientist,London,45000,Cera Care,"London, Greater London",57600.0
56938,Customer Sales Adviser,London E14,22000,Farepilot,"London, Greater London",28160.0
56941,Data Scientist,London,40000,Echobox,"London, Greater London",51200.0
56954,Data Scientist,London,40000,MarketInvoice,"London, Greater London",51200.0
56955,Data Scientist,London,65000,Streetbees,"London, Greater London",83200.0
56959,Data Scientist,London,40000,Curve,"London, Greater London",51200.0
56962,Data Scientist,London E1,40000,Forward3D,"London, Greater London",51200.0
56972,Scientist: Colour Science,London,29028,The British Museum,"London, Greater London",37155.840000000004
56993,AI Labs - 30 x Data Scientist / Machine Learning Engineer (a...,London,50000,Xcede,"London, Greater London",64000.0
56997,Data Scientist,London N1,55000,HomeServe,"London, Greater London",70400.0
57013,Data Scientist (KTP Associate),London EC2Y,36000,PlanSnap LTD,"London, Greater London",46080.0
57028,Data Scientist,London,46000,Financial Conduct Authority,"London, Greater London",58880.0
57030,Data Scientist,London,45000,Quantexa,"London, Greater London",57600.0
57064,Senior Data Scientist,London,40000,Cytora,"London, Greater London",51200.0
57067,Data Scientist,London,35500,Profusion,"London, Greater London",45440.0
57069,Senior Data Scientist,London,60000,Lyst,"London, Greater London",76800.0
57090,Senior HIV/STI Surveillance and Prevention Scientist,Colindale,38589,Public Health England,"London, Greater London",49393.92
57092,Data Scientist,London,60000,Aiimi Ltd,"London, Greater London",76800.0
57101,Data Scientist - 6-12 month Fixed Term Contract,London,50000,BSI,"London, Greater London",64000.0
57105,Marketing Data Scientist - Moonpig,London,10000,Photobox Group,"London, Greater London",12800.0
57106,Data Scientist,London,40000,RHR,"London, Greater London",51200.0
57107,NLP Data Scientist,London,75000,Harnham,"London, Greater London",96000.0
57108,Senior Data Scientist – Global Agency,London,45000,Silverdrum,"London, Greater London",57600.0
57119,Data Scientist,Greater London,30000,Salt Recruitment,"London, Greater London",38400.0
57124,Data Science,London,60000,ConSol Partners,"London, Greater London",76800.0
57125,Data Science Communities Officer,London SW1V,31200,Office for National Statistics,"London, Greater London",39936.0
57134,Data Scientist - London,London,45000,Opus Recruitment Solutions,"London, Greater London",57600.0
57135,Data Scientist - Customer Analytics,London,30000,ConsultTechology,"London, Greater London",38400.0
57138,JUNIOR DATA SCIENTIST,London,35000,Harnham,"London, Greater London",44800.0
57143,Research Assistant,London,30922,University College London,"London, Greater London",39580.16
57156,Data Scientist,London,30000,Harnham,"London, Greater London",38400.0
57158,Marketing Data Scientist,London,10000,Photobox,"London, Greater London",12800.0
57187,Spark Data Scientist,London,75000,Harnham,"London, Greater London",96000.0
57191,Data Scientist - Spark,London,70000,Harnham,"London, Greater London",89600.0
57192,Data Scientist - Python,London,60000,Bettor Believe,"London, Greater London",76800.0
57195,Data Scientist,London,50000,BSL Consulting LLC,"London, Greater London",64000.0
57196,Building Information Data Manager,South Kensington,46762,Imperial College London,"London, Greater London",59855.36
57204,Data Engineer,London E14,55000,Revolut Ltd,"London, Greater London",70400.0
57205,Data Scientist,London,40000,Devonshire Hayes Recruitment Specialist,"London, Greater London",51200.0
57206,Senior Data Scientist - Risk Management,London,84000,McKinsey & Company,"London, Greater London",107520.0
57227,Data Scientist,London,70000,Team Consulting International Limited,"London, Greater London",89600.0
57228,Data Scientist - customer analytics,London,40000,Harnham,"London, Greater London",51200.0
57230,Junior Data Engineer,London,40000,BMLL Technologies Ltd,"London, Greater London",51200.0
57231,Medical Laboratory Assistant,Sutton SM2,21446,Royal Marsden NHS Foundation Trust,"London, Greater London",27450.88
57232,Data Scientist,Surrey,30000,Inspiring Interns,"London, Greater London",38400.0
57234,SD Virology Laboratory Scientist *Extended Deadline until 26...,Weybridge,26350,Animal and Plant Health Agency,"London, Greater London",33728.0
57244,Quant Researcher/Data Scientist,London,100000,Oho Group,"London, Greater London",128000.0
57245,Data Scientist,London,55000,InterQuest Group,"London, Greater London",70400.0
57247,Customer-Facing Data Scientist,London,50000,Mudano,"London, Greater London",64000.0
57249,Data Scientist,London,95624,Prime Professional Recruitment Limited,"London, Greater London",122398.72
57251,Lead Data Scientist,London,60000,Ravelin,"London, Greater London",76800.0
57252,Senior Conservation Scientist,Richmond upon Thames,32629,The National Archives,"London, Greater London",41765.12
57269,Medical Scientist Liaison,London,40000,Chemistree,"London, Greater London",51200.0
57281,Data Scientist,London,60000,Aspire Data Recruitment,"London, Greater London",76800.0
57282,Fintech – London - Data Scientist,London,40000,Opus Recruitment Solutions,"London, Greater London",51200.0
57283,Data Scientist,London,70000,Reco Ltd,"London, Greater London",89600.0
57285,Data Scientist,London,40000,Mcgregor Boyall,"London, Greater London",51200.0
57287,Python Data Scientist – Fintech – Python / SQL – London,London,50000,techstack Recruitment,"London, Greater London",64000.0
57288,Entry Level Analyst - Consumer Quantitative Research,London,23000,Hall & Partners,"London, Greater London",29440.0
57289,Data Scientist - optimisation,London,35000,Harnham,"London, Greater London",44800.0
57301,Data Scientist - Banking,London,70000,Mcgregor Boyall,"London, Greater London",89600.0
57303,Data Scientist,London,60000,LMA Recruitment,"London, Greater London",76800.0
57305,Data Scientist,London,70000,Reqiva,"London, Greater London",89600.0
57306,Data Scientist,London,60000,Talent International,"London, Greater London",76800.0
57307,Data Scientist - Hedgefund,London,80000,Harnham,"London, Greater London",102400.0
57316,Senior Clinical Data Scientist – Cardiac Imaging,London E1,55905,Barts Health NHS Trust,"London, Greater London",71558.40000000001
57318,Information Analyst,London,25000,TI Media,"London, Greater London",32000.0
57319,Big Data Scientist,Southwark,70000,Technet IT,"London, Greater London",89600.0
57320,Credit Data Scientist,London,60000,Harnham,"London, Greater London",76800.0
57332,Data Scientist - Machine Learning Lab,London,70000,Harnham,"London, Greater London",89600.0
57333,Data Scientist,London,50000,GreenLight Recruitment,"London, Greater London",64000.0
57334,Data Scientist,London,85000,Larson Resource Group Limited,"London, Greater London",108800.0
57336,Data Scientist,London,75000,Woolf Group,"London, Greater London",96000.0
57337,Data Scientist - Machine Learning,London,50000,Metrica Recruitment,"London, Greater London",64000.0
57340,Data Scientist - fintech,London,60000,Harnham,"London, Greater London",76800.0
57352,Data Scientist - Customer Insight,London,40000,Harnham,"London, Greater London",51200.0
57356,Client Facing Data Scientists,London,90000,SoulTek,"London, Greater London",115200.0
57371,Data Scientist - Attribution Analytics,London,60000,Harnham,"London, Greater London",76800.0
57373,Insurance Data Scientist,London,30000,Datatech Analytics,"London, Greater London",38400.0
57374,Data Scientist - Deep Learning,London,65000,Harnham,"London, Greater London",83200.0
57378,Data Scientist - Loyalty Analytics,London,50000,Harnham,"London, Greater London",64000.0
57379,Research and Development Industrial Placement,London,20000,BBC,"London, Greater London",25600.0
57388,Water quality scientist,Walton-on-Thames,35000,Thames Water Utilites,"London, Greater London",44800.0
57390,Internships: Business Intelligence 2019/20,London,21000,Direct-to-Consumer and International,"London, Greater London",26880.0
57393,Python Data Scientist,London,50000,Oho Group,"London, Greater London",64000.0
57395,Data Scientist / Data Science Analyst (Marketing),London W1W,45000,Xcede,"London, Greater London",57600.0
57411,Data Scientist,London,65000,Capita IT Resourcing,"London, Greater London",83200.0
57423,Medical Notes Summariser/ Clinical Coder,London,25000,Babylon Health,"London, Greater London",32000.0
57424,Lead Data Scientist,London,80000,Harnham,"London, Greater London",102400.0
57425,Senior Data Scientist,London,55000,Harnham,"London, Greater London",70400.0
57427,Data Scientist - sports,London,50000,Harnham,"London, Greater London",64000.0
57428,Chief Data Scientist - Start-up,London,75000,Harnham,"London, Greater London",96000.0
57442,Data Engineer,London,45000,Game Analytics,"London, Greater London",57600.0
57444,Innovation Data Scientist,London,50000,Harnham,"London, Greater London",64000.0
57450,Senior Data Scientist,London,50000,Bettor Believe,"London, Greater London",64000.0
57462,AI Data Scientist,London,55000,Harnham,"London, Greater London",70400.0
57465,919-AP-1333932-EXT - Senior HIV/STI Surveillance and Prevent...,London,38589,Public Health England,"London, Greater London",49393.92
57466,Datatonic Graduate Talent Programme (2019/2020),London,32500,Datatonic,"London, Greater London",41600.0
57469,Data Scientist,London,60000,ReThink Recruitment,"London, Greater London",76800.0
57478,Epidemiologist,London NW9,38589,Public Health England,"London, Greater London",49393.92
57479,Principal Data Scientist,London,80000,Harnham,"London, Greater London",102400.0
57483,Senior Data Scientist - AI/IoT,London,45000,Harnham,"London, Greater London",57600.0
57485,Data Scientist - Computer Vision,London,95000,Harnham,"London, Greater London",121600.0
57486,Data Scientist - media,London,75000,Harnham,"London, Greater London",96000.0
57496,Software Engineer - Data Science,London,55000,Quantexa,"London, Greater London",70400.0
57497,Chief Data Scientist,London,100000,Harnham,"London, Greater London",128000.0
57499,Data Scientist/Quantitative Researcher,London,75000,Harnham,"London, Greater London",96000.0
57500,Big Data Scientist,Greater London,70000,TechNET IT Recruitment Ltd,"London, Greater London",89600.0
57503,Chemical Laboratories Manager,South Kensington,36424,Natural History Museum,"London, Greater London",46622.72
57516,Senior Research Associate /Senior Scientist,Marylebone,42000,Blind Veterans UK,"London, Greater London",53760.0
57517,Cell Therapy Process Scientist (Knowledge Transfer Partnersh...,London,30922,University College London,"London, Greater London",39580.16
57522,Senior Data Scientist,London,55000,Cathcart Associates,"London, Greater London",70400.0
57532,Data Scientist - Agency,London,60000,Harnham,"London, Greater London",76800.0
57539,Data Scientist/Sr Data Scientist - Permanent - London,London,80000,Vertex Solutions,"London, Greater London",102400.0
57540,Research Fellow (Postdoctoral Scientist),London,35328,University College London,"London, Greater London",45219.840000000004
57549,Data Scientist - Production Environment,London,70000,Harnham,"London, Greater London",89600.0
57550,Healthcare Scientist Practitioner Principal (Research),London E1,49077,Barts Health NHS Trust,"London, Greater London",62818.56
57551,Data Scientist - Customer analytics/CRM,London,45000,Harnham,"London, Greater London",57600.0
57552,Higher Information Analyst – Statistician,London EC1A,39885,Barts Health NHS Trust,"London, Greater London",51052.8
57557,Senior Data Scientist / Senior Statistical Analyst,London,50000,Blue Pelican,"London, Greater London",64000.0
57569,Data Scientist - psychometric analysis,London,60000,Harnham,"London, Greater London",76800.0
57573,Head of Data,London,65000,WeDoData,"London, Greater London",83200.0
57575,Lead Data Scientist,London,85000,Datatech Analytics,"London, Greater London",108800.0
57592,Data Scientist - Challenger Bank,London,65000,Harnham,"London, Greater London",83200.0
57608,919-AP-10564446-EXT - Epidemiologist,London,38589,Public Health England,"London, Greater London",49393.92
57621,Data Scientist - Manager,London,70000,Harnham,"London, Greater London",89600.0
57623,Senior Data Scientist,London,55000,Parallel Consulting,"London, Greater London",70400.0
57626,R&D Data Scientist - computer vision,London,55000,Harnham,"London, Greater London",70400.0
57627,Data Engineer,London W11,60000,Apsara Capital LLP,"London, Greater London",76800.0
57638,Senior Data Engineer,London SE1,65000,MyDrive Solutions Ltd,"London, Greater London",83200.0
57640,Senior Data Scientist - customer analytics,London,50000,Harnham,"London, Greater London",64000.0
57642,Lead Data Scientist/ CTO,London,70000,Harnham,"London, Greater London",89600.0
57643,Quantitative Analyst – Football,London,30000,Bettor Believe,"London, Greater London",38400.0
57645,Research Fellow,London,35328,University College London,"London, Greater London",45219.840000000004
57658,Data Scientist - world-leading tech team,London,50000,Harnham,"London, Greater London",64000.0
57660,Data Scientist - Population Health Issues,London,50000,Informatiq Consulting,"London, Greater London",64000.0
57661,Chat Bot Developer (Python),London,25000,Travtus,"London, Greater London",32000.0
57679,Lead Data Scientist,Staines-upon-Thames,65000,Morson International,"London, Greater London",83200.0
57680,Data Engineer,London,45000,Quantexa,"London, Greater London",57600.0
57692,Data Engineer,London W6,40000,Gambit Research,"London, Greater London",51200.0
57698,Data Scientist - Data Lab,London,70000,Harnham,"London, Greater London",89600.0
57699,"Principal Data Scientist - Gaming - South London - £85,000",London,70000,Harnham,"London, Greater London",89600.0
57711,Data Scientist,London,80000,Cogs Agency,"London, Greater London",102400.0
57718,Data Scientist - Digital Innovation Team,London,65000,Harnham,"London, Greater London",83200.0
57727,Senior Data Scientist - NLP,London,55000,Harnham,"London, Greater London",70400.0
57732,Data Scientist - Machine Learning Research,London,80000,Harnham,"London, Greater London",102400.0
57746,"Multiple Data Scientists - £40,000 - £90,000",London,40000,Harnham,"London, Greater London",51200.0
57747,Senior Attribution Analyst/Data Scientist,London,55000,Harnham,"London, Greater London",70400.0
57749,Data Engineer,London,50000,Zoopla,"London, Greater London",64000.0
57752,Computer Vision / Machine Learning Researcher,London,30000,Statmetrix,"London, Greater London",38400.0
57754,Research Data Scientist - £85k,London,80000,Harnham,"London, Greater London",102400.0
57767,Lead Data Scientist,London,60000,Metrica Recruitment,"London, Greater London",76800.0
57768,Junior Quantitative Analyst,London,35000,Anderson Red,"London, Greater London",44800.0
57771,Data Engineer,London,70000,Smarkets,"London, Greater London",89600.0
57782,Customer Scientist - innovation,London,60000,Harnham,"London, Greater London",76800.0
57783,Research Technician,London,43884,University College London,"London, Greater London",56171.520000000004
57784,MRC Postdoctoral Research Scientist - LMS 965,London,35340,Medical Research Council,"London, Greater London",45235.200000000004
57790,Diagnostic Physicists,London,29893,United Kingdom Atomic Energy Authority (UKAEA),"London, Greater London",38263.04
57802,Data Engineer,London,30000,SDL Solutions Ltd,"London, Greater London",38400.0
57806,Research Fellow (Medical Statistician),London,35328,University College London,"London, Greater London",45219.840000000004
57823,Lead Data Scientist/Tech Lead,London,70000,Harnham,"London, Greater London",89600.0
57824,Statistical Analyst,London,30000,Harnham,"London, Greater London",38400.0
57829,Data Scientist - global ecommerce company,London,70000,Harnham,"London, Greater London",89600.0
57838,Data Scientist (Digital Marketing) – Entertainment Company,London,45000,Cranberry Panda,"London, Greater London",57600.0
57840,Machine Learning Engineer (Intern),London,30000,Onfido,"London, Greater London",38400.0
57841,Senior Data Scientist,London,90000,Eames Consulting,"London, Greater London",115200.0
57844,Senior Data Scientist,London,65000,Mcgregor Boyall,"London, Greater London",83200.0
57858,Senior Data Scientist,London,55000,Amiqus,"London, Greater London",70400.0
57859,Senior Data Engineer,London,80000,Fluidly,"London, Greater London",102400.0
57860,Data Engineer,London,30000,Monarch IT,"London, Greater London",38400.0
57874,Big Data Architect,London SE1,70000,Keyrus,"London, Greater London",89600.0
57882,Principal R&D Data Scientist,London,85000,Harnham,"London, Greater London",108800.0
57883,QC Scientist Biologics,Hertfordshire,30000,CK Group,"London, Greater London",38400.0
57894,Visualisation Consultant,London,30000,Aiimi Ltd,"London, Greater London",38400.0
57895,Senior Data Engineer,London,60000,MarkJames Search,"London, Greater London",76800.0
57896,"Junior Quantitative Analyst, Sports",London,35000,Bettor Believe,"London, Greater London",44800.0
57897,Sales and Marketing Officer,Camden,25000,Microbiology Society,"London, Greater London",32000.0
57898,Senior Data Scientist - T Cell Therapies,London,35000,Next Phase Recruitment Limited,"London, Greater London",44800.0
57901,Research Assistant - Marie Curie Early Stage Researcher,South Kensington,36961,Imperial College London,"London, Greater London",47310.08
57914,Senior Data Engineer role,London,50000,Hive - Centrica,"London, Greater London",64000.0
57917,"Principal Data Scientist - FS - London - £105,000 + Benefits",London,95000,Lawrence Harvey,"London, Greater London",121600.0
57928,Principal Data Scientist - R&D,London,85000,Harnham,"London, Greater London",108800.0
57929,Clinical Pharmacology Scientists,London Bridge Station,50000,Richmond Pharmacology,"London, Greater London",64000.0
57930,Data Scientist - Credit Risk,London,50000,Harnham,"London, Greater London",64000.0
57931,Senior Data Scientist – Global Entertainment Company,West London,45000,Rockit Recruitment,"London, Greater London",57600.0
57932,Data Engineer/Data Scientist,London,60000,Oho Group,"London, Greater London",76800.0
57934,Band A - Chief Media & Marketing Data Officer,London,48965,Cabinet Office,"London, Greater London",62675.200000000004
57955,Principal Data Scientist - Innovation,London,85000,Harnham,"London, Greater London",108800.0
57966,Adeno-associated Virus (AAV) Development Scientist,Hertfordshire,30000,CK Group,"London, Greater London",38400.0
57968,Senior Data Scientist - Experimentation,London,70000,Harnham,"London, Greater London",89600.0
57969,Genetic Technologist,Sutton SM2,32258,Royal Marsden NHS Foundation Trust,"London, Greater London",41290.24
57973,Python Data Scientist / Software Engineer,London,65000,Harnham,"London, Greater London",83200.0
57985,Data Specialist,London,40000,Venturi,"London, Greater London",51200.0
57986,Senior Data Scientist,London,50000,kdr Recruitment,"London, Greater London",64000.0
57987,Research Officer / Senior Research Officer - Development Str...,London,28492,Overseas Development Institute,"London, Greater London",36469.76
57990,Data Analyst/Processing Executive,London,24000,Nicholson Glover Consulting,"London, Greater London",30720.0
58003,Lead Data Engineer,Bank Station,80000,Unmortgage,"London, Greater London",102400.0
58004,Data Engineer - London,London,55000,Opus Recruitment Solutions,"London, Greater London",70400.0
58005,Graduate Data Science Analyst,London,25000,Datatech Analytics,"London, Greater London",32000.0
58020,Research Fellow,London,39304,London School of Hygiene & Tropical Medicine,"London, Greater London",50309.12
58024,Principal Data Scientist - Consultancy,London,75000,Harnham,"London, Greater London",96000.0
58045,Senior R&D Data Scientist,London,75000,Harnham,"London, Greater London",96000.0
58054,Senior Forensic Data Scientist,London,60000,Harnham,"London, Greater London",76800.0
58056,Head of Business Intelligence,London,60000,Growth Street,"London, Greater London",76800.0
58060,Senior Data Scientist - Product,London,60000,Harnham,"London, Greater London",76800.0
58063,Artificial Intelligence Engineer / Data Scientist,London,32000,Deerfoot,"London, Greater London",40960.0
58076,Adobe Data Engineer,London,70000,Harnham,"London, Greater London",89600.0
58090,Data Analyst,London,35000,Inspiring Interns,"London, Greater London",44800.0
58093,Creative Deep Learning Scientist,London,65000,Harnham,"London, Greater London",83200.0
58096,Python Developer Data SQL - Hedge Fund,London,60000,Client Server,"London, Greater London",76800.0
58097,Data Science Lead,London,80000,Harnham,"London, Greater London",102400.0
58112,Machine Learning Scientist - AI,London,50000,Harnham,"London, Greater London",64000.0
58114,Python Engineer,London,70000,Fluidly,"London, Greater London",89600.0
